station_name,trigram,uic_code,latitude,longitude
Brumath,BAH,87212134,48.7331082,7.7004016
Brunémont,BPN,87345439,50.2783197,3.1453509
Brunoy,BNY,87682120,48.699112,2.506422
Bruyères,BUY,87144154,48.204895,6.7187638
Bruyères-sur-Oise,BRK,87276451,49.1552098,2.3259636
Bruz,BRZ,87471037,48.0286,-1.7518088
Bueil,BUE,87387092,48.9253816,1.4435896
Bugeat,BUG,87592162,45.6005968,1.9248147
Buire-sur-l'Ancre,BXA,87316067,49.9647735,2.5981885
Bully - Grenay,BGF,87342105,50.44843,2.73317
Buno - Gironville,BQV,87681510,48.370847,2.3871153
Busigny,BSY,87296244,50.0397236,3.4461174
Bussac-Forêt,BMR,87491191,45.211928,-0.3682457
Busseau sur Creuse,BUC,87597708,46.1230257,2.0229244
Bussière-Galant,BGA,87592741,45.6076224,1.0261372
Buzy en Béarn,BUZ,87672634,43.1482723,-0.4558864
Byans-sur-Doubs,BYB,87718122,47.1185334,5.8520589
Cadaujac,CDJ,87582684,44.7520628,-0.5376186
Caen,CAE,87444000,49.176354,-0.347613
Caffiers,CAF,87317321,50.8500679,1.8120345
Cagnes-sur-Mer,CGM,87756320,43.65813,7.14864
Cahors,CAH,87613000,44.449275,1.433325
Calais,CSV,87317263,50.953481,1.850819
Calais - Fréthun,FHS,87281071,50.901221,1.810891
Callac,CCF,87473546,48.4062201,-3.419782
Calonne-Ricouart,CPC,87342543,50.4827036,2.4812098
Cambo-les-Bains,CPQ,87673657,43.3656242,-1.3966849
Cambrai,CAM,87345520,50.17662,3.24118
Campagnac - Saint-Geniez,CNT,87783340,44.4219559,3.0664008
Cannes,CAN,87757625,43.553839,7.019682
Cannes La Bocca,CAB,87757617,43.548787,6.986601
Cantin,CNK,87345413,50.3124545,3.121943
Cap-d'Ail,KAI,87756395,43.7205382,7.3943362
Capdenac,CDC,87613109,44.5782458,2.0779632
Capvern,CPN,87671156,43.1033454,0.3296393
Carbonne,COA,87611061,43.298206,1.212531
Carcassonne,CNE,87615286,43.218029,2.351824
Carentan,CAR,87447243,49.302482,-1.244938
Carhaix-Plouguer,CRX,87473504,48.2780022,-3.5622173
Carignan,CAG,87172353,49.6285736,5.1684754
Carmaux,CMX,87615625,44.048782,2.152401
Carnoët - Locarn,CCN,87473561,48.3405242,-3.4908822
Carnoles,KRL,87756478,43.76203,7.48139
Carnoules,CNS,87755371,43.2974104,6.1862531
Carpentras,IIM,87765735,44.0499488,5.044141
Carry-le-Rouet,CRR,87753566,43.336592,5.153594
Casino Lacroix Laval,CCL,87208553,45.7878115,4.7309383
Cassel,CRD,87281139,50.7875916,2.4599722
Cassis,CSI,87751776,43.23406,5.553055
Castelnau-d'Estrétefonds,CDF,87611665,43.786196,1.341761
Castelnaudary,CTY,87615039,43.312292,1.95039
Castelsarrasin,CTN,87611897,44.0403503,1.1143954
Castillon-la-Bataille,CIO,87584136,44.856999,-0.04066
Castres,CTR,87615468,43.599131,2.231223
Cattenières,CTT,87345587,50.1280738,3.3337877
Caudéran Mérignac,CUD,87581538,44.84288,-0.6274337
Caudrot,KDT,87582841,44.5801152,-0.1452784
Caudry,CAU,87345561,50.11146,3.40983
Caulnes,CUL,87473066,48.2844264,-2.155593
Caussade,CSD,87613356,44.1622668,1.5336541
Cavaillon,CVN,87765503,43.834554,5.043613
Cavignac,CGC,87491217,45.105163,-0.382243
Cazères,CZG,87611079,43.212834,1.083106
Ceilhes - Roqueredonde,COQ,87781542,43.8122656,3.1551583
Cenon,CBX,87581595,44.8563465,-0.5336487
Cerbère,CER,87785006,42.4417732,3.1634033
Cercottes,CCT,87543033,47.9861553,1.8849813
Cercy-la-Tour,CLT,87696492,46.8578816,3.6452029
Cergy le Haut,CJV,87382655,49.0484932,2.0118725
Cergy Préfecture,CYP,87381905,49.03639,2.07982
Cergy Saint-Christophe,CYC,87382499,49.0496151,2.0343975
Cerizay,CEZ,87487280,46.8176878,-0.6689931
Cernay (Haut-Rhin),CEF,87182410,47.802,7.1737
Cernay (Val-d'Oise),CEJ,87276063,48.98539,2.2568
Cérons,CGD,87582742,44.632346,-0.340526
Cessieu,CIU,87723452,45.5611596,5.3761179
Cesson,CES,87682161,48.56563,2.5938
Cesson-Sévigné,CGT,87334490,48.11281,-1.60211
Ceyzériat,CZR,87743302,46.1834877,5.3258417
Chabenet,CBQ,87597112,46.6265259,1.5076773
Châbons,CKN,87747212,45.4383566,5.4281009
Chabris,CGY,87576223,47.2549836,1.6459424
Chagny,CHY,87713578,46.907269,4.749682
Chaingy Fourneaux Plage,CFX,87574111,47.8770705,1.782422
Chalais,CIC,87583690,45.2708327,0.0435966
Challans,CLS,87481390,46.843962,-1.871879
Chalon-sur-Saône,CSS,87725002,46.781612,4.843454
Chalonnes-sur-Loire,CCE,87484204,47.34306,-0.74306
Châlons-en-Champagne,CMP,87174003,48.955252,4.348656
Chamalières-sur-Loire,CML,87734731,45.2047385,3.9909202
Chamarande,CHK,87545152,48.514244,2.215854
Chambéry - Challes-les-Eaux,CRL,87741009,45.571302,5.919547
Chambly,CVK,87276725,49.16362,2.24048
Chamborigaud,CBO,87775221,44.3002429,3.9793332
Chambourg-sur-Indre,CMG,87571463,47.1821629,0.9648363
Chamelet,CWE,87721829,45.9816414,4.5069346
Chamonix Aiguille du Midi,CHW,87462085,45.91993,6.8667152
Chamonix-Mont-Blanc,CHX,87746784,45.92277,6.87363
Chamousset,CSK,87741231,45.5575744,6.2067432
Champ de Courses d'Enghien,CEG,87276030,48.97975,2.29189
Champ de Mars Tour Eiffel,CPM,87393058,48.8551134,2.2892141
Champagné,CGZ,87396275,48.0197118,0.3352253
Champagne-Ardenne TGV,CGV,87171926,49.214806,3.994632
Champagne-sur-Oise,CPI,87276519,49.13573,2.24156
Champagne-sur-Seine,CME,87682450,48.406531,2.799184
Champagney,CPY,87185348,47.7031399,6.7012773
Champagnole,CPG,87715326,46.7492981,5.9100314
Champagnole Paul-Émile Victor,PVT,87352047,46.742483,5.9198128
Champbenoist - Poigny,CPK,87115873,48.545567,3.287434
Champigneulles,CHG,87141085,48.73499,6.16913
Champigny sur Yonne,CSY,87683128,48.3237418,3.1305718
Champlan,CPL,87725457,48.70804,2.28073
Champs - Saint-Bris,CAI,87683615,47.7388182,3.6034756
Champtocé-sur-Loire,CWL,87484352,47.4102457,-0.8685747
Chanac,CNA,87783530,44.4739786,3.3454117
